id,fishmode,d,p,q,mode,income
27,pier,1.0,50.32,0.0451,pier,4.583332
27,private,0.0,49.062,0.1574,pier,4.583332
27,charter,0.0,73.062,0.4671,pier,4.583332
28,beach,0.0,72.462,0.0678,private,7.0833316
28,pier,0.0,72.462,0.0789,private,7.0833316
28,private,1.0,74.32,0.0897,private,7.0833316
28,charter,0.0,109.32,1.0905,private,7.0833316
29,beach,0.0,70.074,0.5333,charter,1.2499998
29,pier,0.0,70.074,0.4522,charter,1.2499998
29,private,0.0,10.534,0.0156,charter,1.2499998
29,charter,1.0,45.534,0.0058,charter,1.2499998
30,beach,0.0,131.274,0.5333,charter,2.9166665
30,pier,0.0,131.274,0.4522,charter,2.9166665
30,private,0.0,19.734,0.0156,charter,2.9166665
30,charter,1.0,54.734,0.0058,charter,2.9166665
31,beach,0.0,28.314,0.1049,charter,2.9166665
31,pier,0.0,28.314,0.0451,charter,2.9166665
31,private,0.0,19.734,0.0023,charter,2.9166665
31,charter,1.0,43.734,0.0046,charter,2.9166665
32,beach,0.0,49.062,0.1049,charter,4.583332
32,pier,0.0,49.062,0.0079,charter,4.583332
32,private,0.0,11.322,0.0613,charter,4.583332
32,charter,1.0,35.322,0.3087,charter,4.583332
33,beach,0.0,33.462,0.1049,private,2.9166665
33,pier,0.0,33.462,0.0451,private,2.9166665
33,private,1.0,7.722,0.0023,private,2.9166665
33,charter,0.0,31.722,0.0046,private,2.9166665
34,beach,1.0,9.522,0.0678,beach,3.75
34,pier,0.0,9.522,0.0789,beach,3.75
34,private,0.0,78.292,0.0014,beach,3.75
34,charter,0.0,107.292,0.0029,beach,3.75
35,beach,0.0,25.662,0.1049,pier,2.0833333
35,pier,1.0,25.662,0.0079,pier,2.0833333
35,private,0.0,5.922,0.0613,pier,2.0833333
35,charter,0.0,29.922,0.3087,pier,2.0833333
36,beach,0.0,144.144,0.5333,charter,2.9166665
36,pier,0.0,144.144,0.0069,charter,2.9166665
36,private,0.0,7.722,0.0361,charter,2.9166665
36,charter,1.0,42.722,0.4216,charter,2.9166665
37,beach,0.0,120.004,0.0678,pier,12.499998
37,pier,1.0,120.004,0.0789,pier,12.499998
37,private,0.0,252.64,0.0014,pier,12.499998
37,charter,0.0,281.64,0.0029,pier,12.499998
38,beach,0.0,25.648,0.2537,private,1.2499998
38,pier,0.0,25.648,0.1498,private,1.2499998
38,private,1.0,80.608,0.0531,private,1.2499998
38,charter,0.0,105.608,0.0052,private,1.2499998
39,beach,0.0,115.808,0.5333,charter,2.0833333
39,pier,0.0,115.808,0.4522,charter,2.0833333
39,private,0.0,25.004,0.0156,charter,2.0833333
39,charter,1.0,60.004,0.0058,charter,2.0833333
40,beach,0.0,32.604,0.0678,pier,2.9166665
40,pier,1.0,32.604,0.0789,pier,2.9166665
40,private,0.0,68.64,0.1643,pier,2.9166665
40,charter,0.0,97.64,0.5391,pier,2.9166665
41,beach,0.0,10.296,0.0678,private,2.9166665
41,pier,0.0,10.296,0.0789,private,2.9166665
41,private,1.0,46.332,0.1643,private,2.9166665
41,charter,0.0,75.332,0.5391,private,2.9166665
42,beach,0.0,10.296,0.0678,charter,2.9166665
42,pier,0.0,10.296,0.0789,charter,2.9166665
42,private,0.0,54.912,0.0897,charter,2.9166665
42,charter,1.0,89.912,1.0905,charter,2.9166665
43,beach,0.0,231.472,0.5333,private,4.583332
43,pier,0.0,231.472,0.4522,private,4.583332
43,private,1.0,15.096,0.2413,private,4.583332
43,charter,0.0,50.096,1.0266,private,4.583332
44,beach,0.0,59.248,0.2537,charter,3.75
44,pier,0.0,59.248,0.1498,charter,3.75
44,private,0.0,186.208,0.7369,charter,3.75
44,charter,1.0,211.208,2.3101,charter,3.75
45,beach,0.0,231.472,0.5333,charter,4.583332
45,pier,0.0,231.472,0.4522,charter,4.583332
45,private,0.0,15.096,0.2413,charter,4.583332
45,charter,1.0,50.096,1.0266,charter,4.583332
46,beach,0.0,19.896,0.0678,pier,6.2500014
46,pier,1.0,19.896,0.0789,pier,6.2500014
46,private,0.0,89.532,0.0014,pier,6.2500014
46,charter,0.0,118.532,0.0029,pier,6.2500014
47,beach,0.0,341.872,0.5333,charter,7.0833316
47,pier,0.0,341.872,0.4522,charter,7.0833316
47,private,0.0,22.296,0.2413,charter,7.0833316
47,charter,1.0,57.296,1.0266,charter,7.0833316
48,beach,0.0,80.608,0.5333,charter,1.2499998
48,pier,0.0,80.608,0.4522,charter,1.2499998
48,private,0.0,17.404,0.2413,charter,1.2499998
48,charter,1.0,52.404,1.0266,charter,1.2499998
49,beach,1.0,24.334,0.0678,beach,3.75
49,pier,0.0,24.334,0.0789,beach,3.75
49,private,0.0,89.93,0.1643,beach,3.75
49,charter,0.0,118.93,0.5391,beach,3.75
50,beach,1.0,11.322,0.0678,beach,4.583332
50,pier,0.0,11.322,0.0789,beach,4.583332
50,private,0.0,93.092,0.1643,beach,4.583332
50,charter,0.0,122.092,0.5391,beach,4.583332
51,beach,0.0,177.744,0.5333,charter,3.75
51,pier,0.0,177.744,0.4522,charter,3.75
51,private,0.0,9.522,0.0156,charter,3.75
51,charter,1.0,44.522,0.0058,charter,3.75
52,beach,0.0,5.922,0.0678,pier,2.0833333
52,pier,1.0,5.922,0.0789,pier,2.0833333
52,private,0.0,48.692,0.1643,pier,2.0833333
52,charter,0.0,77.692,0.5391,pier,2.0833333
53,beach,0.0,177.744,0.5333,private,3.75
53,pier,0.0,177.744,0.4522,private,3.75
53,private,1.0,9.522,0.2413,private,3.75
53,charter,0.0,44.522,1.0266,private,3.75
54,beach,0.0,70.074,0.5333,private,1.2499998
54,pier,0.0,70.074,0.0069,private,1.2499998
54,private,1.0,10.534,0.0361,private,1.2499998
54,charter,0.0,45.534,0.4216,private,1.2499998
55,beach,0.0,41.514,0.1049,charter,4.583332
55,pier,0.0,41.514,0.0079,charter,4.583332
55,private,0.0,28.934,0.0613,charter,4.583332
55,charter,1.0,52.934,0.3087,charter,4.583332
56,beach,0.0,21.714,0.1049,charter,2.0833333
56,pier,0.0,21.714,0.0451,charter,2.0833333
56,private,0.0,15.134,0.0023,charter,2.0833333
56,charter,1.0,39.134,0.0046,charter,2.0833333
57,beach,0.0,144.144,0.5333,charter,2.9166665
57,pier,0.0,144.144,0.4522,charter,2.9166665
57,private,0.0,7.722,0.0156,charter,2.9166665
57,charter,1.0,42.722,0.0058,charter,2.9166665
58,beach,0.0,25.662,0.1049,private,2.0833333
58,pier,0.0,25.662,0.0079,private,2.0833333
58,private,1.0,5.922,0.0613,private,2.0833333
58,charter,0.0,29.922,0.3087,private,2.0833333
59,beach,0.0,244.944,0.5333,private,5.4166665
59,pier,0.0,244.944,0.4522,private,5.4166665
59,private,1.0,13.122,0.0156,private,5.4166665
59,charter,0.0,48.122,0.0058,private,5.4166665
60,beach,0.0,144.144,0.5333,charter,2.9166665
60,pier,0.0,144.144,0.4522,charter,2.9166665
60,private,0.0,7.722,0.2413,charter,2.9166665
60,charter,1.0,42.722,1.0266,charter,2.9166665
61,beach,0.0,5.922,0.0678,pier,2.0833333
61,pier,1.0,5.922,0.0789,pier,2.0833333
61,private,0.0,48.692,0.0014,pier,2.0833333
61,charter,0.0,77.692,0.0029,pier,2.0833333
62,beach,0.0,93.092,0.0678,pier,4.583332
62,pier,1.0,93.092,0.0503,pier,4.583332
62,private,0.0,93.092,0.2601,pier,4.583332
62,charter,0.0,118.092,0.5391,pier,4.583332
63,beach,0.0,177.744,0.5333,charter,3.75
63,pier,0.0,177.744,0.0069,charter,3.75
63,private,0.0,9.522,0.0361,charter,3.75
63,charter,1.0,44.522,0.4216,charter,3.75
64,beach,0.0,41.262,0.1049,private,3.75
64,pier,0.0,41.262,0.0451,private,3.75
64,private,1.0,9.522,0.1574,private,3.75
64,charter,0.0,33.522,0.4671,private,3.75
65,beach,0.0,9.522,0.0678,pier,3.75
65,pier,1.0,9.522,0.0789,pier,3.75
65,private,0.0,78.292,0.1643,pier,3.75
65,charter,0.0,107.292,0.5391,pier,3.75
66,beach,0.0,76.944,0.5333,charter,1.2499998
66,pier,0.0,76.944,0.4522,charter,1.2499998
66,private,0.0,4.122,0.2413,charter,1.2499998
66,charter,1.0,39.122,1.0266,charter,1.2499998
67,beach,0.0,177.744,0.5333,private,3.75
67,pier,0.0,177.744,0.4522,private,3.75
67,private,1.0,9.522,0.2413,private,3.75
67,charter,0.0,44.522,1.0266,private,3.75
68,beach,0.0,177.744,0.5333,charter,3.75
68,pier,0.0,177.744,0.4522,charter,3.75
68,private,0.0,9.522,0.1665,charter,3.75
68,charter,1.0,44.522,0.3975,charter,3.75
69,beach,0.0,244.944,0.5333,private,5.4166665
69,pier,0.0,244.944,0.4522,private,5.4166665
69,private,1.0,13.122,0.2413,private,5.4166665
69,charter,0.0,48.122,1.0266,private,5.4166665
70,beach,0.0,33.462,0.1049,pier,2.9166665
70,pier,1.0,33.462,0.0451,pier,2.9166665
70,private,0.0,7.722,0.1574,pier,2.9166665
70,charter,0.0,31.722,0.4671,pier,2.9166665
71,beach,0.0,33.462,0.1049,private,2.9166665
71,pier,0.0,33.462,0.0451,private,2.9166665
71,private,1.0,7.722,0.0023,private,2.9166665
71,charter,0.0,31.722,0.0046,private,2.9166665
72,beach,0.0,5.922,0.0678,charter,2.0833333
72,pier,0.0,5.922,0.0789,charter,2.0833333
72,private,0.0,25.662,0.0102,charter,2.0833333
72,charter,1.0,60.662,0.0209,charter,2.0833333
73,beach,0.0,345.744,0.5333,charter,7.9166665
73,pier,0.0,345.744,0.4522,charter,7.9166665
73,private,0.0,18.522,0.1665,charter,7.9166665
73,charter,1.0,53.522,0.3975,charter,7.9166665
74,beach,0.0,244.944,0.5333,private,5.4166665
74,pier,0.0,244.944,0.0069,private,5.4166665
74,private,1.0,13.122,0.0361,private,5.4166665
74,charter,0.0,48.122,0.4216,private,5.4166665
75,beach,0.0,64.662,0.1049,private,6.2500014
75,pier,0.0,64.662,0.0451,private,6.2500014
75,private,1.0,14.922,0.0023,private,6.2500014
75,charter,0.0,38.922,0.0046,private,6.2500014
76,beach,1.0,9.522,0.0678,beach,3.75
76,pier,0.0,9.522,0.0789,beach,3.75
76,private,0.0,78.292,0.1643,beach,3.75
76,charter,0.0,107.292,0.5391,beach,3.75
77,beach,1.0,24.696,0.0678,beach,7.9166665
77,pier,0.0,24.696,0.0789,beach,7.9166665
77,private,0.0,111.132,0.1643,beach,7.9166665
77,charter,0.0,140.132,0.5391,beach,7.9166665
78,beach,0.0,33.892,0.0678,private,1.2499998
78,pier,0.0,33.892,0.0503,private,1.2499998
78,private,1.0,33.892,0.2601,private,1.2499998
78,charter,0.0,58.892,0.5391,private,1.2499998
79,beach,0.0,144.144,0.5333,charter,2.9166665
79,pier,0.0,144.144,0.0069,charter,2.9166665
79,private,0.0,7.722,0.0361,charter,2.9166665
79,charter,1.0,42.722,0.4216,charter,2.9166665
80,beach,0.0,110.544,0.5333,private,2.0833333
80,pier,0.0,110.544,0.4522,private,2.0833333
80,private,1.0,5.922,0.2413,private,2.0833333
80,charter,0.0,40.922,1.0266,private,2.0833333
81,beach,0.0,76.944,0.5333,charter,1.2499998
81,pier,0.0,76.944,0.4522,charter,1.2499998
81,private,0.0,4.122,0.0156,charter,1.2499998
81,charter,1.0,39.122,0.0058,charter,1.2499998
82,beach,1.0,7.722,0.0678,beach,2.9166665
82,pier,0.0,7.722,0.0789,beach,2.9166665
82,private,0.0,63.492,0.0014,beach,2.9166665
82,charter,0.0,92.492,0.0029,beach,2.9166665
83,beach,0.0,177.744,0.5333,private,3.75
83,pier,0.0,177.744,0.4522,private,3.75
83,private,1.0,9.522,0.1665,private,3.75
83,charter,0.0,44.522,0.3975,private,3.75
84,beach,0.0,17.862,0.1049,private,1.2499998
84,pier,0.0,17.862,0.0451,private,1.2499998
84,private,1.0,4.122,0.1574,private,1.2499998
84,charter,0.0,28.122,0.4671,private,1.2499998
85,beach,0.0,33.462,0.2537,charter,2.9166665
85,pier,0.0,33.462,0.0014,charter,2.9166665
85,private,0.0,33.462,0.0626,charter,2.9166665
85,charter,1.0,51.962,0.2773,charter,2.9166665
86,beach,0.0,8.514,0.2537,private,0.4166667
86,pier,0.0,8.514,0.1498,private,0.4166667
86,private,1.0,39.474,0.6817,private,0.4166667
86,charter,0.0,64.474,2.3014,private,0.4166667
87,beach,0.0,38.134,0.0678,charter,6.2500014
87,pier,0.0,38.134,0.0789,charter,6.2500014
87,private,0.0,54.714,0.0559,charter,6.2500014
87,charter,1.0,89.714,0.6456,charter,6.2500014
88,beach,0.0,24.334,0.0678,private,3.75
88,pier,0.0,24.334,0.0789,private,3.75
88,private,1.0,34.914,0.0897,private,3.75
88,charter,0.0,69.914,1.0905,private,3.75
89,beach,0.0,100.674,0.5333,pier,2.0833333
89,pier,1.0,100.674,0.4522,pier,2.0833333
89,private,0.0,15.134,0.2413,pier,2.0833333
89,charter,0.0,50.134,1.0266,pier,2.0833333
90,beach,0.0,104.214,0.2537,pier,12.499998
90,pier,1.0,104.214,0.1498,pier,12.499998
90,private,0.0,104.214,0.2339,pier,12.499998
90,charter,0.0,122.714,0.6288,pier,12.499998
91,beach,0.0,161.874,0.5333,charter,3.75
91,pier,0.0,161.874,0.4522,charter,3.75
91,private,0.0,24.334,0.0156,charter,3.75
91,charter,1.0,59.334,0.0058,charter,3.75
92,beach,0.0,48.114,0.1049,charter,5.4166665
92,pier,0.0,48.114,0.0451,charter,5.4166665
92,private,0.0,33.534,0.1574,charter,5.4166665
92,charter,1.0,57.534,0.4671,charter,5.4166665
93,beach,0.0,64.662,0.0678,private,6.2500014
93,pier,0.0,64.662,0.0789,private,6.2500014
93,private,1.0,66.32,0.0102,private,6.2500014
93,charter,0.0,101.32,0.0209,private,6.2500014
94,beach,0.0,72.462,0.0678,charter,7.0833316
94,pier,0.0,72.462,0.0789,charter,7.0833316
94,private,0.0,74.32,0.0102,charter,7.0833316
94,charter,1.0,109.32,0.0209,charter,7.0833316
95,beach,0.0,422.984,0.5333,private,11.250001
95,pier,0.0,422.984,0.4522,private,11.250001
95,private,1.0,111.462,0.0051,private,11.250001
95,charter,0.0,146.462,1.0266,private,11.250001
96,beach,0.0,56.862,0.0678,charter,5.4166665
96,pier,0.0,56.862,0.0789,charter,5.4166665
96,private,0.0,58.32,0.0102,charter,5.4166665
96,charter,1.0,93.32,0.0209,charter,5.4166665
97,beach,0.0,72.462,0.0678,private,7.0833316
97,pier,0.0,72.462,0.0789,private,7.0833316
97,private,1.0,74.32,0.0897,private,7.0833316
97,charter,0.0,109.32,1.0905,private,7.0833316
98,beach,0.0,210.566,0.0678,charter,6.2500014
98,pier,0.0,210.566,0.0052,charter,6.2500014
98,private,0.0,49.74,0.0732,charter,6.2500014
98,charter,1.0,79.24,0.1726,charter,6.2500014
99,beach,0.0,43.74,0.2537,pier,5.4166665
99,pier,1.0,43.74,0.1498,pier,5.4166665
99,private,0.0,52.488,0.2339,pier,5.4166665
99,charter,0.0,70.988,0.6288,pier,5.4166665
100,beach,1.0,31.74,0.2537,beach,3.75
100,pier,0.0,31.74,0.1498,beach,3.75
100,private,0.0,38.088,0.2339,beach,3.75
100,charter,0.0,56.588,0.6288,beach,3.75
101,beach,1.0,19.74,0.2537,beach,2.0833333
101,pier,0.0,19.74,0.1498,beach,2.0833333
101,private,0.0,23.688,0.2339,beach,2.0833333
101,charter,0.0,42.188,0.6288,beach,2.0833333
102,beach,0.0,31.74,0.2537,pier,3.75
102,pier,1.0,31.74,0.1498,pier,3.75
102,private,0.0,38.088,0.2339,pier,3.75
102,charter,0.0,56.588,0.6288,pier,3.75
103,beach,0.0,55.77,0.0678,charter,2.9166665
103,pier,0.0,55.77,0.0025,charter,2.9166665
103,private,0.0,25.74,0.0108,charter,2.9166665
103,charter,1.0,60.74,0.2377,charter,2.9166665
104,beach,0.0,42.77,0.0678,charter,2.0833333
104,pier,0.0,42.77,0.0789,charter,2.0833333
104,private,0.0,19.74,0.0559,charter,2.0833333
104,charter,1.0,54.74,0.6456,charter,2.0833333
105,beach,0.0,261.366,0.0678,charter,7.9166665
105,pier,0.0,261.366,0.0052,charter,7.9166665
105,private,0.0,61.74,0.0732,charter,7.9166665
105,charter,1.0,91.24,0.1726,charter,7.9166665
106,beach,0.0,268.702,0.5333,charter,8.750001
106,pier,0.0,268.702,0.4522,charter,8.750001
106,private,0.0,146.77,0.1665,charter,8.750001
106,charter,1.0,181.77,0.3975,charter,8.750001
107,beach,0.0,55.74,0.2537,charter,7.0833316
107,pier,0.0,55.74,0.1498,charter,7.0833316
107,private,0.0,221.102,0.6817,charter,7.0833316
107,charter,1.0,246.102,2.3014,charter,7.0833316
108,beach,0.0,159.766,0.0678,charter,4.583332
108,pier,0.0,159.766,0.0052,charter,4.583332
108,private,0.0,37.74,0.0732,charter,4.583332
108,charter,1.0,67.24,0.1726,charter,4.583332
109,beach,0.0,16.77,0.0678,pier,0.4166667
109,pier,1.0,16.77,0.0789,pier,0.4166667
109,private,0.0,32.766,0.1643,pier,0.4166667
109,charter,0.0,61.766,0.5391,pier,0.4166667
110,beach,0.0,125.902,0.5333,private,3.75
110,pier,0.0,125.902,0.4522,private,3.75
110,private,1.0,68.77,0.2413,private,3.75
110,charter,0.0,103.77,1.0266,private,3.75
111,beach,0.0,56.862,0.0678,private,5.4166665
111,pier,0.0,56.862,0.0025,private,5.4166665
111,private,1.0,58.32,0.0108,private,5.4166665
111,charter,0.0,93.32,0.2377,private,5.4166665
112,beach,0.0,25.662,0.0678,charter,2.0833333
112,pier,0.0,25.662,0.0025,charter,2.0833333
112,private,0.0,26.32,0.0108,charter,2.0833333
112,charter,1.0,61.32,0.2377,charter,2.0833333
113,beach,0.0,46.258,0.0678,charter,1.2499998
113,pier,0.0,46.258,0.0052,charter,1.2499998
113,private,0.0,18.32,0.0732,charter,1.2499998
113,charter,1.0,47.82,0.1726,charter,1.2499998
114,beach,1.0,42.32,0.2537,beach,3.75
114,pier,0.0,42.32,0.1498,beach,3.75
114,private,0.0,42.32,0.0233,beach,3.75
114,charter,0.0,60.82,0.0219,beach,3.75
115,beach,0.0,64.662,0.0678,charter,6.2500014
115,pier,0.0,64.662,0.0789,charter,6.2500014
115,private,0.0,66.32,0.0559,charter,6.2500014
115,charter,1.0,101.32,0.6456,charter,6.2500014
116,beach,0.0,42.32,0.1049,charter,3.75
116,pier,0.0,42.32,0.0451,charter,3.75
116,private,0.0,41.262,0.1574,charter,3.75
116,charter,1.0,65.262,0.4671,charter,3.75
117,beach,0.0,58.32,0.2537,private,5.4166665
117,pier,0.0,58.32,0.1498,private,5.4166665
117,private,1.0,58.32,0.0233,private,5.4166665
117,charter,0.0,76.82,0.0219,private,5.4166665
118,beach,0.0,77.234,0.0678,charter,3.75
118,pier,0.0,77.234,0.0789,charter,3.75
118,private,0.0,73.002,0.0102,charter,3.75
118,charter,1.0,108.002,0.0209,charter,3.75
119,beach,0.0,150.15,0.5333,charter,2.9166665
119,pier,0.0,150.15,0.4522,charter,2.9166665
119,private,0.0,62.634,0.2413,charter,2.9166665
119,charter,1.0,97.634,1.0266,charter,2.9166665
120,beach,0.0,135.634,0.0678,charter,7.0833316
120,pier,0.0,135.634,0.0789,charter,7.0833316
120,private,0.0,267.552,0.1643,charter,7.0833316
120,charter,1.0,296.552,0.0041,charter,7.0833316
121,beach,1.0,73.002,0.2537,beach,3.75
121,pier,0.0,73.002,0.1498,beach,3.75
121,private,0.0,73.002,0.2339,beach,3.75
121,charter,0.0,91.502,0.6288,beach,3.75
122,beach,0.0,205.27,0.0678,private,12.499998
122,pier,0.0,205.27,0.0789,private,12.499998
122,private,1.0,94.74,0.0897,private,12.499998
122,charter,0.0,129.74,1.0905,private,12.499998
123,beach,0.0,55.77,0.0678,charter,2.9166665
123,pier,0.0,55.77,0.0789,charter,2.9166665
123,private,0.0,25.74,0.0897,charter,2.9166665
123,charter,1.0,60.74,1.0905,charter,2.9166665
124,beach,1.0,61.74,0.2537,beach,7.9166665
124,pier,0.0,61.74,0.1498,beach,7.9166665
124,private,0.0,74.088,0.2339,beach,7.9166665
124,charter,0.0,92.588,0.6288,beach,7.9166665
125,beach,0.0,120.77,0.0678,private,7.0833316
125,pier,0.0,120.77,0.0789,private,7.0833316
125,private,1.0,55.74,0.0102,private,7.0833316
125,charter,0.0,90.74,0.0209,private,7.0833316
126,beach,0.0,146.77,0.0678,charter,8.750001
126,pier,0.0,146.77,0.0789,charter,8.750001
126,private,0.0,67.74,0.0102,charter,8.750001
126,charter,1.0,102.74,0.0209,charter,8.750001
127,beach,0.0,55.74,0.2537,pier,7.0833316
127,pier,1.0,55.74,0.1498,pier,7.0833316
127,private,0.0,66.888,0.2339,pier,7.0833316
127,charter,0.0,85.388,0.6288,pier,7.0833316
128,beach,0.0,134.366,0.0678,charter,3.75
128,pier,0.0,134.366,0.0052,charter,3.75
128,private,0.0,31.74,0.0732,charter,3.75
128,charter,1.0,61.24,0.1726,charter,3.75
129,beach,0.0,49.74,0.2537,pier,6.2500014
129,pier,1.0,49.74,0.1498,pier,6.2500014
129,private,0.0,59.688,0.2339,pier,6.2500014
129,charter,0.0,78.188,0.6288,pier,6.2500014
130,beach,0.0,205.27,0.0678,private,12.499998
130,pier,0.0,205.27,0.0789,private,12.499998
130,private,1.0,94.74,0.0102,private,12.499998
130,charter,0.0,129.74,0.0209,private,12.499998
131,beach,0.0,205.27,0.0678,private,12.499998
131,pier,0.0,205.27,0.0025,private,12.499998
131,private,1.0,94.74,0.0108,private,12.499998
131,charter,0.0,129.74,0.2377,private,12.499998
132,beach,0.0,107.77,0.0678,charter,6.2500014
132,pier,0.0,107.77,0.0789,charter,6.2500014
132,private,0.0,49.74,0.0559,charter,6.2500014
132,charter,1.0,84.74,0.6456,charter,6.2500014
133,beach,0.0,261.366,0.0678,private,7.9166665
133,pier,0.0,261.366,0.0052,private,7.9166665
133,private,1.0,61.74,0.0732,private,7.9166665
133,charter,0.0,91.24,0.1726,private,7.9166665
134,beach,0.0,108.966,0.0678,private,2.9166665
134,pier,0.0,108.966,0.0503,private,2.9166665
134,private,1.0,25.74,0.0143,private,2.9166665
134,charter,0.0,55.24,0.0289,private,2.9166665
135,beach,0.0,286.766,0.0678,private,8.750001
135,pier,0.0,286.766,0.0503,private,8.750001
135,private,1.0,67.74,0.0143,private,8.750001
